GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sem2App,app.controller,RegistLaboratoryController,65,0,2,0,13,0,6,0,5,0
Sem2App,app.controller,RecordTestResultController,49,0,0,0,11,0,3,0,3,0
Sem2App,app.controller,RegistClientController,39,0,0,0,10,0,4,0,4,0
Sem2App,app.controller,WriteReportController,114,0,6,0,24,0,7,0,4,0
Sem2App,app.controller,RecordSampleController,76,0,0,0,17,0,7,0,7,0
Sem2App,app.controller,RegistEmployeeController,100,0,0,0,20,0,8,0,8,0
Sem2App,app.controller,App,155,0,2,0,37,0,10,0,9,0
Sem2App,app.controller,AuthController,31,0,2,0,11,0,5,0,4,0
Sem2App,app.controller,CreateParameterController,88,0,0,0,21,0,6,0,6,0
Sem2App,app.controller,TestTypeController,66,0,0,0,14,0,7,0,7,0
Sem2App,app.controller,CreateParameterCategoryController,37,0,0,0,12,0,4,0,4,0
Sem2App,auth,AuthFacade,151,0,10,0,32,0,15,0,10,0
Sem2App,auth,UserSession,79,0,12,0,25,0,14,0,8,0
Sem2App,app.ui,Main,14,0,0,0,7,0,2,0,2,0
Sem2App,app.domain.model,TestDTO,45,0,0,0,9,0,5,0,5,0
Sem2App,app.domain.model,ParameterCategoryMapper,43,0,4,0,10,0,4,0,2,0
Sem2App,app.domain.model,OrgRole,48,0,0,0,10,0,6,0,6,0
Sem2App,app.domain.model,LabOrder,43,0,0,0,7,0,4,0,4,0
Sem2App,app.domain.model,RolesMapper,28,0,4,0,7,0,5,0,3,0
Sem2App,app.domain.model,SampleMapper,3,0,0,0,1,0,1,0,1,0
Sem2App,app.domain.model,ParameterCategory,91,0,14,0,19,0,14,0,7,0
Sem2App,app.domain.model,Parameter,176,0,26,0,41,0,27,0,14,0
Sem2App,app.domain.model,TestParameterResult,55,0,0,0,10,0,6,0,6,0
Sem2App,app.domain.model,TestTypeStore,78,0,12,0,19,0,13,0,7,0
